GID_0,GID_1,GID_2,NAME_1,NAME_2,in_kasai_polygon,atrocity_count_first_pass,atrocity_coding_source
COD,COD.1_1,COD.1.1_1,Bas-Uele,Aketi,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.2_1,Bas-Uele,Aketi (ville),0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.3_1,Bas-Uele,Ango,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.4_1,Bas-Uele,Bambesa,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.5_1,Bas-Uele,Bondo,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.6_1,Bas-Uele,Bondo (ville),0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.7_1,Bas-Uele,Buta,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.8_1,Bas-Uele,Buta (ville),0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.9_1,Bas-Uele,Dingila,0,0,OUT_OF_POLYGON
COD,COD.1_1,COD.1.10_1,Bas-Uele,Poko,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.1_1,Équateur,Basankusu,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.2_1,Équateur,Basankusu (ville),0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.3_1,Équateur,Bikoro,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.4_1,Équateur,Bolomba,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.5_1,Équateur,Bomongo,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.6_1,Équateur,Ingende,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.7_1,Équateur,Lukolela,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.8_1,Équateur,Makanza,0,0,OUT_OF_POLYGON
COD,COD.2_1,COD.2.9_1,Équateur,Mbandaka,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.1_1,Haut-Katanga,Kambove,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.2_1,Haut-Katanga,Kasenga,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.3_1,Haut-Katanga,Kipushi,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.4_1,Haut-Katanga,Kipushi (ville),0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.5_1,Haut-Katanga,Likasi,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.6_1,Haut-Katanga,Lubumbashi,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.7_1,Haut-Katanga,Mitwaba,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.8_1,Haut-Katanga,Pweto,0,0,OUT_OF_POLYGON
COD,COD.3_1,COD.3.9_1,Haut-Katanga,Sakania,0,0,OUT_OF_POLYGON
COD,COD.4_1,COD.4.1_1,Haut-Lomami,Bukama,0,0,OUT_OF_POLYGON
COD,COD.4_1,COD.4.2_1,Haut-Lomami,Kabongo,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.4_1,COD.4.3_1,Haut-Lomami,Kamina,0,0,OUT_OF_POLYGON
COD,COD.4_1,COD.4.4_1,Haut-Lomami,Kamina (ville),0,0,OUT_OF_POLYGON
COD,COD.4_1,COD.4.5_1,Haut-Lomami,Kaniama,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.4_1,COD.4.6_1,Haut-Lomami,Malemba-Nkulu,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.1_1,Haut-Uele,Aba,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.2_1,Haut-Uele,Dungu,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.3_1,Haut-Uele,Dungu (ville),0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.4_1,Haut-Uele,Faradje,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.5_1,Haut-Uele,Isiro,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.6_1,Haut-Uele,Niangara,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.7_1,Haut-Uele,Rungu,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.8_1,Haut-Uele,Wamba,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.9_1,Haut-Uele,Wamba (ville),0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.10_1,Haut-Uele,Watsa,0,0,OUT_OF_POLYGON
COD,COD.5_1,COD.5.11_1,Haut-Uele,Watsa (ville),0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.1_1,Ituri,Ariwara,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.2_1,Ituri,Aru,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.3_1,Ituri,Aru (ville),0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.4_1,Ituri,Bunia,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.5_1,Ituri,Djugu,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.6_1,Ituri,Ingbokolo,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.7_1,Ituri,Irumu,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.8_1,Ituri,Mahagi,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.9_1,Ituri,Mahagi (ville),0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.10_1,Ituri,Mambasa,0,0,OUT_OF_POLYGON
COD,COD.6_1,COD.6.11_1,Ituri,Mongwalu,0,0,OUT_OF_POLYGON
COD,COD.9_1,COD.9.1_1,Kasaï,Dekese,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.9_1,COD.9.2_1,Kasaï,Ilebo,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.9_1,COD.9.3_1,Kasaï,Ilebo (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.9_1,COD.9.4_1,Kasaï,Kamonia,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.9_1,COD.9.5_1,Kasaï,Luebo,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.9_1,COD.9.6_1,Kasaï,Luebo (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.9_1,COD.9.7_1,Kasaï,Mweka,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.9_1,COD.9.8_1,Kasaï,Tshikapa,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.7_1,COD.7.1_1,Kasaï-Central,Demba,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.7_1,COD.7.2_1,Kasaï-Central,Dibaya,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.7_1,COD.7.3_1,Kasaï-Central,Dimbelenge,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.7_1,COD.7.4_1,Kasaï-Central,Kananga,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.7_1,COD.7.5_1,Kasaï-Central,Kazumba,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.7_1,COD.7.6_1,Kasaï-Central,Luiza,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.7_1,COD.7.7_1,Kasaï-Central,Tshimbulu,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.1_1,Kasaï-Oriental,Kabeya-Kamwanga,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.2_1,Kasaï-Oriental,Katanda,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.3_1,Kasaï-Oriental,Lukalaba,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.4_1,Kasaï-Oriental,Lupatapata,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.5_1,Kasaï-Oriental,Mbuji-Mayi,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.6_1,Kasaï-Oriental,Miabi,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.7_1,Kasaï-Oriental,Miabi (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.8_1,Kasaï-Oriental,Tshilenge,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.8_1,COD.8.9_1,Kasaï-Oriental,Tshilenge (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.10_1,COD.10.1_1,Kinshasa,Kinshasa,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.1_1,Kongo-Central,Bangu,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.2_1,Kongo-Central,Boma,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.3_1,Kongo-Central,Inkisi,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.4_1,Kongo-Central,Kasangulu,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.5_1,Kongo-Central,Kasangulu (ville),0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.6_1,Kongo-Central,Kimvula,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.7_1,Kongo-Central,Lukula,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.8_1,Kongo-Central,Lukula (ville),0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.9_1,Kongo-Central,Luozi,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.10_1,Kongo-Central,Madimba,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.11_1,Kongo-Central,Matadi,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.12_1,Kongo-Central,Mbanza-Ngungu,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.13_1,Kongo-Central,Mbanza-Ngungu (ville),0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.14_1,Kongo-Central,Moanda,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.15_1,Kongo-Central,Moanda (ville),0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.16_1,Kongo-Central,Seke-Banza,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.17_1,Kongo-Central,Songololo,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.18_1,Kongo-Central,Tshela,0,0,OUT_OF_POLYGON
COD,COD.11_1,COD.11.19_1,Kongo-Central,Tshela (ville),0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.1_1,Kwango,Feshi,0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.2_1,Kwango,Kahemba,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.12_1,COD.12.3_1,Kwango,Kahemba (ville),0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.4_1,Kwango,Kasongo-Lunda,0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.5_1,Kwango,Kasongo-Lunda (ville),0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.6_1,Kwango,Kenge,0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.7_1,Kwango,Kenge (ville),0,0,OUT_OF_POLYGON
COD,COD.12_1,COD.12.8_1,Kwango,Popokabaka,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.1_1,Kwilu,Bagata,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.2_1,Kwilu,Bandundu,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.3_1,Kwilu,Bulungu,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.4_1,Kwilu,Bulungu (ville),0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.5_1,Kwilu,Dibaya-Lubwe,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.6_1,Kwilu,Gungu,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.13_1,COD.13.7_1,Kwilu,Gungu (ville),0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.8_1,Kwilu,Idiofa,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.13_1,COD.13.9_1,Kwilu,Idiofa (ville),0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.10_1,Kwilu,Kikwit,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.11_1,Kwilu,Mangai,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.12_1,Kwilu,Masi-Manimba,0,0,OUT_OF_POLYGON
COD,COD.13_1,COD.13.13_1,Kwilu,Masi-Manimba (ville),0,0,OUT_OF_POLYGON
COD,COD.14_1,COD.14.1_1,Lomami,Kabinda,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.14_1,COD.14.2_1,Lomami,Kabinda (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.3_1,Lomami,Kamiji,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.4_1,Lomami,Lubao,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.5_1,Lomami,Lubao (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.6_1,Lomami,Luilu,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.7_1,Lomami,Mwene-Ditu,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.14_1,COD.14.8_1,Lomami,Ngandajika,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.14_1,COD.14.9_1,Lomami,Ngandajika (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.15_1,COD.15.1_1,Lualaba,Dilolo,0,0,OUT_OF_POLYGON
COD,COD.15_1,COD.15.2_1,Lualaba,Kapanga,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.15_1,COD.15.3_1,Lualaba,Kasaji,0,0,OUT_OF_POLYGON
COD,COD.15_1,COD.15.4_1,Lualaba,Kolwezi,0,0,OUT_OF_POLYGON
COD,COD.15_1,COD.15.5_1,Lualaba,Lubudi,0,0,OUT_OF_POLYGON
COD,COD.15_1,COD.15.6_1,Lualaba,Mutshatsha,0,0,OUT_OF_POLYGON
COD,COD.15_1,COD.15.7_1,Lualaba,Sandoa,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.1_1,Mai-Ndombe,Bolobo,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.2_1,Mai-Ndombe,Bolobo (ville),0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.3_1,Mai-Ndombe,Inongo,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.4_1,Mai-Ndombe,Inongo (ville),0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.5_1,Mai-Ndombe,Kiri,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.6_1,Mai-Ndombe,Kutu,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.7_1,Mai-Ndombe,Kwamouth,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.8_1,Mai-Ndombe,Mushie,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.9_1,Mai-Ndombe,Nioki,0,0,OUT_OF_POLYGON
COD,COD.16_1,COD.16.10_1,Mai-Ndombe,Oshwe,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.16_1,COD.16.11_1,Mai-Ndombe,Yumbi,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.1_1,Maniema,Kabambare,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.2_1,Maniema,Kailo,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.17_1,COD.17.3_1,Maniema,Kalima,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.4_1,Maniema,Kasongo,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.17_1,COD.17.5_1,Maniema,Kasongo (ville),0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.6_1,Maniema,Kibombo,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.17_1,COD.17.7_1,Maniema,Kindu,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.8_1,Maniema,Lubutu,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.9_1,Maniema,Lubutu (ville),0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.10_1,Maniema,Namoya,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.11_1,Maniema,Pangi,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.12_1,Maniema,Punia,0,0,OUT_OF_POLYGON
COD,COD.17_1,COD.17.13_1,Maniema,Punia (ville),0,0,OUT_OF_POLYGON
COD,COD.18_1,COD.18.1_1,Mongala,Bongandanga,0,0,OUT_OF_POLYGON
COD,COD.18_1,COD.18.2_1,Mongala,Bumba,0,0,OUT_OF_POLYGON
COD,COD.18_1,COD.18.3_1,Mongala,Bumba (ville),0,0,OUT_OF_POLYGON
COD,COD.18_1,COD.18.4_1,Mongala,Lisala,0,0,OUT_OF_POLYGON
COD,COD.18_1,COD.18.5_1,Mongala,Lisala (ville),0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.1_1,Nord-Kivu,Beni,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.2_1,Nord-Kivu,Butembo,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.3_1,Nord-Kivu,Goma,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.4_1,Nord-Kivu,Lubero,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.5_1,Nord-Kivu,Masisi,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.6_1,Nord-Kivu,Nyiragongo,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.7_1,Nord-Kivu,Oicha,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.8_1,Nord-Kivu,Oïcha (ville),0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.9_1,Nord-Kivu,Rutshuru,0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.10_1,Nord-Kivu,Rutshuru (ville),0,0,OUT_OF_POLYGON
COD,COD.19_1,COD.19.11_1,Nord-Kivu,Walikale,0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.1_1,Nord-Ubangi,Bosobolo,0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.2_1,Nord-Ubangi,Businga,0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.3_1,Nord-Ubangi,Gbadolite,0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.4_1,Nord-Ubangi,Mobayi-Mbongo,0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.5_1,Nord-Ubangi,Mobayi-Mbongo (ville),0,0,OUT_OF_POLYGON
COD,COD.20_1,COD.20.6_1,Nord-Ubangi,Yakoma,0,0,OUT_OF_POLYGON
COD,COD.21_1,COD.21.1_1,Sankuru,Bena-Dibele,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.21_1,COD.21.2_1,Sankuru,Katako-Kombe,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.21_1,COD.21.3_1,Sankuru,Kole,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.21_1,COD.21.4_1,Sankuru,Lodja,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
COD,COD.21_1,COD.21.5_1,Sankuru,Lodja (ville),1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.21_1,COD.21.6_1,Sankuru,Lomela,1,1,WITHIN_KASAI_PROVINCE_POLYGON
COD,COD.21_1,COD.21.7_1,Sankuru,Lubefu,1,2,DOCUMENTED_TERRITOIRE_HIGH (Young+Turner / Lemarchand / Stearns / Wikipedia_cross_cite)
