admin2_code,admin2_name,admin1_code,admin1_name,year,idp_max,idp_mean,idp_median,n_rounds_in_year,country,iso3,GID_2,in_polygon,atrocity_count_first_pass
CD1000,Kinshasa,CD10,Kinshasa,2023,392281,392281.0,392281.0,1,drc,COD,COD.10.1_1,0.0,0
CD1000,Kinshasa,CD10,Kinshasa,2024,125560,125560.0,125560.0,1,drc,COD,COD.10.1_1,0.0,0
CD1000,Kinshasa,CD10,Kinshasa,2025,85651,63795.0,64983.5,4,drc,COD,COD.10.1_1,0.0,0
CD2013,Mbanza-Ngungu,CD20,Kongo-Central,2023,80,80.0,80.0,1,drc,COD,COD.11.12_1,0.0,0
CD2013,Mbanza-Ngungu,CD20,Kongo-Central,2024,183,183.0,183.0,1,drc,COD,COD.11.12_1,0.0,0
CD2013,Mbanza-Ngungu,CD20,Kongo-Central,2025,183,183.0,183.0,2,drc,COD,COD.11.12_1,0.0,0
CD2017,Madimba,CD20,Kongo-Central,2024,345,345.0,345.0,1,drc,COD,COD.11.10_1,0.0,0
CD2017,Madimba,CD20,Kongo-Central,2025,345,345.0,345.0,2,drc,COD,COD.11.10_1,0.0,0
CD2019,Kimvula,CD20,Kongo-Central,2023,120,120.0,120.0,1,drc,COD,COD.11.6_1,0.0,0
CD2019,Kimvula,CD20,Kongo-Central,2024,450,450.0,450.0,1,drc,COD,COD.11.6_1,0.0,0
CD2019,Kimvula,CD20,Kongo-Central,2025,450,450.0,450.0,2,drc,COD,COD.11.6_1,0.0,0
CD31-XXX,Kasongo-Lunda,CD31,Kwango,2023,1255,1255.0,1255.0,1,drc,COD,COD.12.4_1,0.0,0
CD31-XXX,Kasongo-Lunda,CD31,Kwango,2024,550,550.0,550.0,1,drc,COD,COD.12.4_1,0.0,0
CD31-XXX,Kasongo-Lunda,CD31,Kwango,2025,550,550.0,550.0,2,drc,COD,COD.12.4_1,0.0,0
CD3102,Kenge,CD31,Kwango,2023,250,250.0,250.0,1,drc,COD,COD.12.6_1,0.0,0
CD3102,Kenge,CD31,Kwango,2025,94405,47889.25,32384.0,4,drc,COD,COD.12.6_1,0.0,0
CD3108,Popokabaka,CD31,Kwango,2024,7000,7000.0,7000.0,1,drc,COD,COD.12.8_1,0.0,0
CD3108,Popokabaka,CD31,Kwango,2025,25336,18677.5,16458.0,4,drc,COD,COD.12.8_1,0.0,0
CD3201,Bandundu,CD32,Kwilu,2023,1500,1500.0,1500.0,1,drc,COD,COD.13.2_1,0.0,0
CD3201,Bandundu,CD32,Kwilu,2024,5500,5500.0,5500.0,1,drc,COD,COD.13.2_1,0.0,0
CD3201,Bandundu,CD32,Kwilu,2025,25185,9341.25,4060.0,4,drc,COD,COD.13.2_1,0.0,0
CD3202,Bagata,CD32,Kwilu,2023,4080,4080.0,4080.0,1,drc,COD,COD.13.1_1,0.0,0
CD3202,Bagata,CD32,Kwilu,2024,2834,2834.0,2834.0,1,drc,COD,COD.13.1_1,0.0,0
CD3202,Bagata,CD32,Kwilu,2025,105700,74883.0,64619.0,4,drc,COD,COD.13.1_1,0.0,0
CD3203,Kikwit,CD32,Kwilu,2024,10,10.0,10.0,1,drc,COD,COD.13.10_1,0.0,0
CD3203,Kikwit,CD32,Kwilu,2025,10,10.0,10.0,2,drc,COD,COD.13.10_1,0.0,0
CD3204,Bulungu,CD32,Kwilu,2023,20,20.0,20.0,1,drc,COD,COD.13.3_1,0.0,0
CD3204,Bulungu,CD32,Kwilu,2024,696,696.0,696.0,1,drc,COD,COD.13.3_1,0.0,0
CD3204,Bulungu,CD32,Kwilu,2025,696,696.0,696.0,2,drc,COD,COD.13.3_1,0.0,0
CD3206,Idiofa,CD32,Kwilu,2024,114,114.0,114.0,1,drc,COD,COD.13.8_1,1.0,1
CD3206,Idiofa,CD32,Kwilu,2025,114,114.0,114.0,2,drc,COD,COD.13.8_1,1.0,1
CD3210,Gungu,CD32,Kwilu,2024,329,329.0,329.0,1,drc,COD,COD.13.6_1,1.0,1
CD3210,Gungu,CD32,Kwilu,2025,329,329.0,329.0,2,drc,COD,COD.13.6_1,1.0,1
CD3212,Masi-Manimba,CD32,Kwilu,2023,346,346.0,346.0,1,drc,COD,COD.13.12_1,0.0,0
CD3212,Masi-Manimba,CD32,Kwilu,2024,16826,16826.0,16826.0,1,drc,COD,COD.13.12_1,0.0,0
CD3212,Masi-Manimba,CD32,Kwilu,2025,2178,1285.5,1306.0,4,drc,COD,COD.13.12_1,0.0,0
CD3302,Inongo,CD33,Maï-Ndombe,2023,20,20.0,20.0,1,drc,COD,COD.16.3_1,0.0,0
CD3304,Oshwe,CD33,Maï-Ndombe,2023,150,150.0,150.0,1,drc,COD,COD.16.10_1,1.0,1
CD3304,Oshwe,CD33,Maï-Ndombe,2024,119,119.0,119.0,1,drc,COD,COD.16.10_1,1.0,1
CD3304,Oshwe,CD33,Maï-Ndombe,2025,119,119.0,119.0,2,drc,COD,COD.16.10_1,1.0,1
CD3306,Kutu,CD33,Maï-Ndombe,2023,456,456.0,456.0,1,drc,COD,COD.16.6_1,0.0,0
CD3306,Kutu,CD33,Maï-Ndombe,2024,532,532.0,532.0,1,drc,COD,COD.16.6_1,0.0,0
CD3306,Kutu,CD33,Maï-Ndombe,2025,2960,2157.5,1890.0,4,drc,COD,COD.16.6_1,0.0,0
CD3307,Kwamouth,CD33,Maï-Ndombe,2024,108426,108426.0,108426.0,1,drc,COD,COD.16.7_1,0.0,0
CD3307,Kwamouth,CD33,Maï-Ndombe,2025,50167,25772.5,17641.0,4,drc,COD,COD.16.7_1,0.0,0
CD3308,Bolobo,CD33,Maï-Ndombe,2023,57,57.0,57.0,1,drc,COD,COD.16.1_1,0.0,0
CD3308,Bolobo,CD33,Maï-Ndombe,2024,2090,2090.0,2090.0,1,drc,COD,COD.16.1_1,0.0,0
CD3308,Bolobo,CD33,Maï-Ndombe,2025,6454,6454.0,6454.0,4,drc,COD,COD.16.1_1,0.0,0
CD3310,Yumbi,CD33,Maï-Ndombe,2024,613,613.0,613.0,1,drc,COD,COD.16.11_1,0.0,0
CD3310,Yumbi,CD33,Maï-Ndombe,2025,10608,10608.0,10608.0,4,drc,COD,COD.16.11_1,0.0,0
CD3311,Mushie,CD33,Maï-Ndombe,2023,53,53.0,53.0,1,drc,COD,COD.16.8_1,0.0,0
CD3311,Mushie,CD33,Maï-Ndombe,2024,266,266.0,266.0,1,drc,COD,COD.16.8_1,0.0,0
CD3311,Mushie,CD33,Maï-Ndombe,2025,2769,2769.0,2769.0,4,drc,COD,COD.16.8_1,0.0,0
CD4101,Mbandaka,CD41,Equateur,2023,34362,34362.0,34362.0,1,drc,COD,COD.2.9_1,0.0,0
CD4101,Mbandaka,CD41,Equateur,2024,3610,3610.0,3610.0,1,drc,COD,COD.2.9_1,0.0,0
CD4101,Mbandaka,CD41,Equateur,2025,3610,3610.0,3610.0,2,drc,COD,COD.2.9_1,0.0,0
CD4102,Bikoro,CD41,Equateur,2023,170,170.0,170.0,1,drc,COD,COD.2.3_1,0.0,0
CD4102,Bikoro,CD41,Equateur,2024,1285,1285.0,1285.0,1,drc,COD,COD.2.3_1,0.0,0
CD4102,Bikoro,CD41,Equateur,2025,1285,1285.0,1285.0,2,drc,COD,COD.2.3_1,0.0,0
CD4103,Lukolela,CD41,Equateur,2023,4190,4190.0,4190.0,1,drc,COD,COD.2.7_1,0.0,0
CD4103,Lukolela,CD41,Equateur,2024,14420,14420.0,14420.0,1,drc,COD,COD.2.7_1,0.0,0
CD4103,Lukolela,CD41,Equateur,2025,14420,14420.0,14420.0,2,drc,COD,COD.2.7_1,0.0,0
CD4104,Bomongo,CD41,Equateur,2023,32995,32995.0,32995.0,1,drc,COD,COD.2.5_1,0.0,0
CD4104,Bomongo,CD41,Equateur,2024,33300,33300.0,33300.0,1,drc,COD,COD.2.5_1,0.0,0
CD4104,Bomongo,CD41,Equateur,2025,33300,33300.0,33300.0,2,drc,COD,COD.2.5_1,0.0,0
CD4105,Makanza,CD41,Equateur,2024,19725,19725.0,19725.0,1,drc,COD,COD.2.8_1,0.0,0
CD4105,Makanza,CD41,Equateur,2025,19725,19725.0,19725.0,2,drc,COD,COD.2.8_1,0.0,0
CD4107,Basankusu,CD41,Equateur,2023,900,900.0,900.0,1,drc,COD,COD.2.1_1,0.0,0
CD4108,Bolomba,CD41,Equateur,2023,1500,1500.0,1500.0,1,drc,COD,COD.2.4_1,0.0,0
CD4108,Bolomba,CD41,Equateur,2024,1035,1035.0,1035.0,1,drc,COD,COD.2.4_1,0.0,0
CD4108,Bolomba,CD41,Equateur,2025,1035,1035.0,1035.0,2,drc,COD,COD.2.4_1,0.0,0
CD4109,Ingende,CD41,Equateur,2023,828,828.0,828.0,1,drc,COD,COD.2.6_1,0.0,0
CD4109,Ingende,CD41,Equateur,2024,4960,4960.0,4960.0,1,drc,COD,COD.2.6_1,0.0,0
CD4109,Ingende,CD41,Equateur,2025,4960,4960.0,4960.0,2,drc,COD,COD.2.6_1,0.0,0
CD4204,Kungu,CD42,Sud-Ubangi,2023,3000,3000.0,3000.0,1,drc,COD,COD.23.4_1,0.0,0
CD4302,Mobayi-Mbongo,CD43,Nord-Ubangi,2023,10684,10684.0,10684.0,1,drc,COD,COD.20.4_1,0.0,0
CD4302,Mobayi-Mbongo,CD43,Nord-Ubangi,2024,124,124.0,124.0,1,drc,COD,COD.20.4_1,0.0,0
CD4302,Mobayi-Mbongo,CD43,Nord-Ubangi,2025,124,124.0,124.0,2,drc,COD,COD.20.4_1,0.0,0
CD4304,Yakoma,CD43,Nord-Ubangi,2024,946,946.0,946.0,1,drc,COD,COD.20.6_1,0.0,0
CD4304,Yakoma,CD43,Nord-Ubangi,2025,946,946.0,946.0,2,drc,COD,COD.20.6_1,0.0,0
CD4305,Businga,CD43,Nord-Ubangi,2023,288,288.0,288.0,1,drc,COD,COD.20.2_1,0.0,0
CD4306,Bosobolo,CD43,Nord-Ubangi,2024,156,156.0,156.0,1,drc,COD,COD.20.1_1,0.0,0
CD4306,Bosobolo,CD43,Nord-Ubangi,2025,156,156.0,156.0,2,drc,COD,COD.20.1_1,0.0,0
CD4402,Lisala,CD44,Mongala,2023,45672,45672.0,45672.0,1,drc,COD,COD.18.4_1,0.0,0
CD4402,Lisala,CD44,Mongala,2024,1260,1260.0,1260.0,1,drc,COD,COD.18.4_1,0.0,0
CD4402,Lisala,CD44,Mongala,2025,1260,1260.0,1260.0,2,drc,COD,COD.18.4_1,0.0,0
CD4404,Bumba,CD44,Mongala,2024,4243,4243.0,4243.0,1,drc,COD,COD.18.2_1,0.0,0
CD4404,Bumba,CD44,Mongala,2025,4243,4243.0,4243.0,2,drc,COD,COD.18.2_1,0.0,0
CD4405,Bongandanga,CD44,Mongala,2023,20571,20571.0,20571.0,1,drc,COD,COD.18.1_1,0.0,0
CD4405,Bongandanga,CD44,Mongala,2024,5110,5110.0,5110.0,1,drc,COD,COD.18.1_1,0.0,0
CD4405,Bongandanga,CD44,Mongala,2025,5110,5110.0,5110.0,2,drc,COD,COD.18.1_1,0.0,0
CD4503,Befale,CD45,Tshuapa,2023,600,600.0,600.0,1,drc,COD,COD.26.1_1,0.0,0
CD4504,Djolu,CD45,Tshuapa,2023,740,740.0,740.0,1,drc,COD,COD.26.5_1,0.0,0
CD4504,Djolu,CD45,Tshuapa,2024,2840,2840.0,2840.0,1,drc,COD,COD.26.5_1,0.0,0
CD4504,Djolu,CD45,Tshuapa,2025,2840,2840.0,2840.0,2,drc,COD,COD.26.5_1,0.0,0
CD4505,Ikela,CD45,Tshuapa,2024,1585,1585.0,1585.0,1,drc,COD,COD.26.6_1,1.0,1
CD4505,Ikela,CD45,Tshuapa,2025,1585,1585.0,1585.0,2,drc,COD,COD.26.6_1,1.0,1
CD4507,Monkoto,CD45,Tshuapa,2023,400,400.0,400.0,1,drc,COD,COD.26.7_1,1.0,1
CD5101,Kisangani,CD51,Tshopo,2023,14643,14643.0,14643.0,1,drc,COD,COD.25.7_1,0.0,0
CD5101,Kisangani,CD51,Tshopo,2024,16545,16545.0,16545.0,1,drc,COD,COD.25.7_1,0.0,0
CD5101,Kisangani,CD51,Tshopo,2025,16545,16545.0,16545.0,2,drc,COD,COD.25.7_1,0.0,0
CD5102,Ubundu,CD51,Tshopo,2023,55829,55829.0,55829.0,1,drc,COD,COD.25.9_1,0.0,0
CD5102,Ubundu,CD51,Tshopo,2024,95470,95470.0,95470.0,1,drc,COD,COD.25.9_1,0.0,0
CD5102,Ubundu,CD51,Tshopo,2025,95470,95470.0,95470.0,2,drc,COD,COD.25.9_1,0.0,0
CD5103,Opala,CD51,Tshopo,2024,97774,97774.0,97774.0,1,drc,COD,COD.25.8_1,1.0,1
CD5103,Opala,CD51,Tshopo,2025,97774,97774.0,97774.0,2,drc,COD,COD.25.8_1,1.0,1
CD5105,Isangi,CD51,Tshopo,2023,52550,52550.0,52550.0,1,drc,COD,COD.25.5_1,0.0,0
CD5105,Isangi,CD51,Tshopo,2024,135535,135535.0,135535.0,1,drc,COD,COD.25.5_1,0.0,0
CD5105,Isangi,CD51,Tshopo,2025,135535,135535.0,135535.0,2,drc,COD,COD.25.5_1,0.0,0
CD5107,Yahuma,CD51,Tshopo,2023,3750,3750.0,3750.0,1,drc,COD,COD.25.10_1,0.0,0
CD5107,Yahuma,CD51,Tshopo,2024,1905,1905.0,1905.0,1,drc,COD,COD.25.10_1,0.0,0
CD5107,Yahuma,CD51,Tshopo,2025,1905,1905.0,1905.0,2,drc,COD,COD.25.10_1,0.0,0
CD5109,Basoko,CD51,Tshopo,2023,43446,43446.0,43446.0,1,drc,COD,COD.25.3_1,0.0,0
CD5109,Basoko,CD51,Tshopo,2024,28286,28286.0,28286.0,1,drc,COD,COD.25.3_1,0.0,0
CD5109,Basoko,CD51,Tshopo,2025,28286,28286.0,28286.0,2,drc,COD,COD.25.3_1,0.0,0
CD5110,Banalia,CD51,Tshopo,2023,250,250.0,250.0,1,drc,COD,COD.25.2_1,0.0,0
CD5111,Bafwasende,CD51,Tshopo,2023,7840,7840.0,7840.0,1,drc,COD,COD.25.1_1,0.0,0
CD5111,Bafwasende,CD51,Tshopo,2024,10760,10760.0,10760.0,1,drc,COD,COD.25.1_1,0.0,0
CD5111,Bafwasende,CD51,Tshopo,2025,10760,10760.0,10760.0,2,drc,COD,COD.25.1_1,0.0,0
CD5202,Buta,CD52,Bas-Uele,2024,464,464.0,464.0,1,drc,COD,COD.1.7_1,0.0,0
CD5202,Buta,CD52,Bas-Uele,2025,464,464.0,464.0,2,drc,COD,COD.1.7_1,0.0,0
CD5204,Aketi,CD52,Bas-Uele,2023,3023,3023.0,3023.0,1,drc,COD,COD.1.1_1,0.0,0
CD5206,Bondo,CD52,Bas-Uele,2023,19900,19900.0,19900.0,1,drc,COD,COD.1.5_1,0.0,0
CD5206,Bondo,CD52,Bas-Uele,2024,1762,1762.0,1762.0,1,drc,COD,COD.1.5_1,0.0,0
CD5206,Bondo,CD52,Bas-Uele,2025,1762,1762.0,1762.0,2,drc,COD,COD.1.5_1,0.0,0
CD5207,Ango,CD52,Bas-Uele,2023,4900,4900.0,4900.0,1,drc,COD,COD.1.3_1,0.0,0
CD5207,Ango,CD52,Bas-Uele,2024,2101,2101.0,2101.0,1,drc,COD,COD.1.3_1,0.0,0
CD5207,Ango,CD52,Bas-Uele,2025,2101,2101.0,2101.0,2,drc,COD,COD.1.3_1,0.0,0
CD5208,Poko,CD52,Bas-Uele,2024,157,157.0,157.0,1,drc,COD,COD.1.10_1,0.0,0
CD5208,Poko,CD52,Bas-Uele,2025,157,157.0,157.0,2,drc,COD,COD.1.10_1,0.0,0
CD5209,Bambesa,CD52,Bas-Uele,2024,1722,1722.0,1722.0,1,drc,COD,COD.1.4_1,0.0,0
CD5209,Bambesa,CD52,Bas-Uele,2025,1722,1722.0,1722.0,2,drc,COD,COD.1.4_1,0.0,0
CD5302,Rungu,CD53,Haut-Uele,2023,2,2.0,2.0,1,drc,COD,COD.5.7_1,0.0,0
CD5303,Niangara,CD53,Haut-Uele,2023,1860,1860.0,1860.0,1,drc,COD,COD.5.6_1,0.0,0
CD5309,Watsa,CD53,Haut-Uele,2023,6055,6055.0,6055.0,1,drc,COD,COD.5.10_1,0.0,0
CD5309,Watsa,CD53,Haut-Uele,2024,2245,2245.0,2245.0,1,drc,COD,COD.5.10_1,0.0,0
CD5309,Watsa,CD53,Haut-Uele,2025,2245,2245.0,2245.0,2,drc,COD,COD.5.10_1,0.0,0
CD5311,Wamba,CD53,Haut-Uele,2023,518,518.0,518.0,1,drc,COD,COD.5.8_1,0.0,0
CD54-XXX,Aru,CD54,Ituri,2024,410,410.0,410.0,2,drc,COD,COD.6.2_1,0.0,0
CD5401,Bunia,CD54,Ituri,2024,27969,27969.0,27969.0,2,drc,COD,COD.6.4_1,0.0,0
CD5401,Bunia,CD54,Ituri,2025,51777,51777.0,51777.0,1,drc,COD,COD.6.4_1,0.0,0
CD5402,Irumu,CD54,Ituri,2018,98059,98059.0,98059.0,1,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2019,123288,123288.0,123288.0,1,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2020,324242,311113.5,311113.5,2,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2021,445934,427686.5,427686.5,2,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2022,462484,433475.0,433475.0,2,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2023,414884,414884.0,414884.0,2,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2024,344079,265417.0,226086.0,3,drc,COD,COD.6.7_1,0.0,0
CD5402,Irumu,CD54,Ituri,2025,109594,83705.5,83705.5,2,drc,COD,COD.6.7_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2018,21794,21794.0,21794.0,1,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2019,21971,21971.0,21971.0,1,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2020,65028,52038.0,52038.0,2,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2021,125382,117592.0,117592.0,2,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2022,126147,121706.5,121706.5,2,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2023,101971,101971.0,101971.0,2,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2024,102960,102469.33333333333,102224.0,3,drc,COD,COD.6.10_1,0.0,0
CD5403,Mambasa,CD54,Ituri,2025,60469,60469.0,60469.0,2,drc,COD,COD.6.10_1,0.0,0
CD5404,Mongwalu,CD54,Ituri,2024,27460,27460.0,27460.0,2,drc,COD,COD.6.11_1,0.0,0
CD5405,Djugu,CD54,Ituri,2018,345763,345763.0,345763.0,1,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2019,697836,697836.0,697836.0,1,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2020,696250,467688.0,467688.0,2,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2021,432805,421066.5,421066.5,2,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2022,544001,531515.0,531515.0,2,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2023,675382,675382.0,675382.0,2,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2024,559215,531588.3333333334,517775.0,3,drc,COD,COD.6.5_1,0.0,0
CD5405,Djugu,CD54,Ituri,2025,597081,597081.0,597081.0,2,drc,COD,COD.6.5_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2018,105951,105951.0,105951.0,1,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2019,208996,208996.0,208996.0,1,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2020,574450,442025.5,442025.5,2,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2021,449592,446563.0,446563.0,2,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2022,493296,458631.5,458631.5,2,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2023,374003,374003.0,374003.0,2,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2024,295864,293301.3333333333,292020.0,3,drc,COD,COD.6.8_1,0.0,0
CD5407,Mahagi,CD54,Ituri,2025,133583,133583.0,133583.0,2,drc,COD,COD.6.8_1,0.0,0
CD5409,Aru,CD54,Ituri,2018,62,62.0,62.0,1,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2019,62,62.0,62.0,1,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2020,56223,56223.0,56223.0,1,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2021,57298,56414.5,56414.5,2,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2022,71111,66165.5,66165.5,2,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2023,64295,64295.0,64295.0,2,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2024,58459,54219.666666666664,52100.0,3,drc,COD,COD.6.2_1,0.0,0
CD5409,Aru,CD54,Ituri,2025,2555,2555.0,2555.0,2,drc,COD,COD.6.2_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2017,1707,1669.4,1656.0,5,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2020,2013,2013.0,2013.0,1,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2021,1477,1477.0,1477.0,1,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2022,19717,19246.5,19246.5,2,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2023,223735,130690.76923076923,145081.0,13,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2024,485321,383331.5333333333,392363.0,15,drc,COD,COD.19.3_1,0.0,0
CD6101,Goma,CD61,Nord-Kivu,2025,83017,36288.2,26662.0,5,drc,COD,COD.19.3_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2020,10292,10292.0,10292.0,1,drc,COD,COD.19.6_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2021,4914,4914.0,4914.0,1,drc,COD,COD.19.6_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2022,127801,63760.666666666664,41049.0,3,drc,COD,COD.19.6_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2023,361737,185227.53846153847,116056.0,13,drc,COD,COD.19.6_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2024,334212,198751.6,201574.0,15,drc,COD,COD.19.6_1,0.0,0
CD6102,Nyiragongo,CD61,Nord-Kivu,2025,58973,26376.8,23211.0,5,drc,COD,COD.19.6_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2016,41239,29892.083333333332,30178.0,12,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2017,20270,18936.4,18922.0,10,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2018,18818,17755.0,17964.5,8,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2019,212570,41317.125,16974.0,7,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2020,291497,291497.0,291497.0,1,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2021,230861,230861.0,230861.0,1,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2022,462575,456727.0,456727.0,2,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2023,633920,312417.92307692306,293261.0,13,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2024,600195,443431.5333333333,413038.0,15,drc,COD,COD.19.5_1,0.0,0
CD6103,Masisi,CD61,Nord-Kivu,2025,372178,315759.6,301218.0,5,drc,COD,COD.19.5_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2020,188267,129525.5,129525.5,2,drc,COD,COD.19.11_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2021,188200,188200.0,188200.0,1,drc,COD,COD.19.11_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2022,236851,233819.0,233819.0,2,drc,COD,COD.19.11_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2023,206652,54817.07692307692,34557.0,13,drc,COD,COD.19.11_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2024,162555,82526.26666666666,72495.0,15,drc,COD,COD.19.11_1,0.0,0
CD6104,Walikale,CD61,Nord-Kivu,2025,107373,89289.0,101749.0,5,drc,COD,COD.19.11_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2019,626549,314500.0,314500.0,2,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2020,183353,183353.0,183353.0,1,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2021,165493,165493.0,165493.0,1,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2022,223870,159541.0,204755.0,3,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2023,340957,145981.53846153847,113280.0,13,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2024,355083,191789.26666666666,229382.0,15,drc,COD,COD.19.4_1,0.0,0
CD6105,Lubero,CD61,Nord-Kivu,2025,207762,159597.4,160412.0,5,drc,COD,COD.19.4_1,0.0,0
CD6107,Oïcha,CD61,Nord-Kivu,2021,154924,154924.0,154924.0,1,drc,COD,,,0
CD6107,Oïcha,CD61,Nord-Kivu,2022,413379,324075.5,324075.5,2,drc,COD,,,0
CD6107,Oïcha,CD61,Nord-Kivu,2023,565317,381509.75,480118.0,4,drc,COD,,,0
CD6107,Oïcha,CD61,Nord-Kivu,2024,354186,76111.42857142857,4036.0,14,drc,COD,,,0
