admin2_code,admin2_name,admin1_code,admin1_name,year,idp_max,idp_mean,idp_median,n_rounds_in_year,country,iso3,GID_2,in_polygon,atrocity_count_first_pass
YE1101,Al Qafr,YE11,Ibb,2015,1250,1250.0,1250.0,1,yemen,YEM,YEM.14.4_1,0.0,0
YE1101,Al Qafr,YE11,Ibb,2016,2118,1618.0,1614.0,3,yemen,YEM,YEM.14.4_1,0.0,0
YE1101,Al Qafr,YE11,Ibb,2017,3444,2658.8571428571427,2130.0,7,yemen,YEM,YEM.14.4_1,0.0,0
YE1101,Al Qafr,YE11,Ibb,2018,14010,7002.0,3552.0,3,yemen,YEM,YEM.14.4_1,0.0,0
YE1102,Yarim,YE11,Ibb,2015,2430,2430.0,2430.0,1,yemen,YEM,YEM.14.20_1,0.0,0
YE1102,Yarim,YE11,Ibb,2016,5484,3818.0,3804.0,3,yemen,YEM,YEM.14.20_1,0.0,0
YE1102,Yarim,YE11,Ibb,2017,10470,7878.857142857143,6174.0,7,yemen,YEM,YEM.14.20_1,0.0,0
YE1102,Yarim,YE11,Ibb,2018,10524,10408.0,10524.0,3,yemen,YEM,YEM.14.20_1,0.0,0
YE1103,Ar Radmah,YE11,Ibb,2015,250,250.0,250.0,1,yemen,YEM,YEM.14.7_1,0.0,0
YE1103,Ar Radmah,YE11,Ibb,2016,4182,2764.0,2814.0,3,yemen,YEM,YEM.14.7_1,0.0,0
YE1103,Ar Radmah,YE11,Ibb,2017,4530,4437.428571428572,4470.0,7,yemen,YEM,YEM.14.7_1,0.0,0
YE1103,Ar Radmah,YE11,Ibb,2018,4548,4540.0,4548.0,3,yemen,YEM,YEM.14.7_1,0.0,0
YE1104,An Nadirah,YE11,Ibb,2015,2705,2705.0,2705.0,1,yemen,YEM,YEM.14.6_1,0.0,0
YE1104,An Nadirah,YE11,Ibb,2016,5820,4752.0,4584.0,3,yemen,YEM,YEM.14.6_1,0.0,0
YE1104,An Nadirah,YE11,Ibb,2017,5322,5148.857142857143,5112.0,7,yemen,YEM,YEM.14.6_1,0.0,0
